10:53:48:314|        1|        0| 1|3|      Root node|        0|        0|        2|        0.00|    0|      168.24|        0.00|        0|        1
10:53:48:314|        2|        1| 1|3|      Some node|        0|        0|        3|        0.00|    1|      168.24|        0.00|        0|        2
10:53:48:314|        3|        2| 1|3|      Some node|        0|      832|        4|      -56.36|    2|      111.88|        0.00|        0|        3
10:53:48:314|        4|        3| 1|3|      Some node|        0|      363|        5|     -117.61|    3|       50.63|        0.00|        0|        4
10:53:48:314|        5|        4| 1|3|      Some node|        0|      259|        6|     -140.74|    4|       27.50|        0.00|        0|        5
10:53:48:314|        6|        5| 1|3|      Some node|        0|       53|        7|     -164.86|    5|        3.38|        0.00|        0|        6
10:53:48:314|        7|        6| 1|3|      Some node|        0|       21|        8|     -167.74|    6|        0.50|        0.00|        0|        7
10:53:48:314|        8|        7| 1|3|      Some node|        0|        0|        9|     -167.74|    7|        0.50|        0.00|        0|        8
10:53:48:314|        9|        8| 1|3|      Some node|        0|        0|       10|     -167.74|    8|        0.50|        0.00|        0|        9
10:53:48:314|       10|        9| 1|3|      Some node|        0|       11|        0|     -168.24|    9|        0.00|       -0.25|       12|       10
10:53:48:314|       11|        9| 2|3|      Some node|       10|        0|       12|     -167.24|    9|        1.00|       -0.25|        0|       11
10:53:48:314|       12|       11| 1|3|      Some node|        0|       20|       13|     -167.74|   10|        0.75|        0.00|        0|       12
10:53:48:314|       13|       12| 1|3|      Some node|        0|       16|       14|     -168.49|   11|        0.00|        0.00|        0|       13
10:53:48:314|       14|       13| 1|3|      Some node|        0|        0|       15|     -168.49|   12|        0.00|        0.00|        0|       14
10:53:48:314|       15|       14| 1|3|      Some node|        0|        0|        0|     -168.49|   13|        0.00|       25.00|      119|       15
10:53:48:314|       16|       12| 2|3|      Some node|       13|        0|       17|     -166.99|   11|        1.50|        1.00|        0|       16
10:53:48:314|       17|       16| 1|3|      Some node|        0|       19|       18|     -167.49|   12|        0.00|        0.00|        0|       17
10:53:48:314|       18|       17| 1|3|      Some node|        0|        0|        0|     -167.49|   13|        0.00|        0.00|        0|       16
10:53:48:314|       19|       16| 2|3|      Some node|       17|        0|        0|     -166.49|   12|        1.00|        0.00|       18|       16
10:53:48:314|       20|       11| 2|3|      Some node|       12|        0|        0|     -166.74|   10|        1.75|        0.00|       16|       20
10:53:48:314|       21|        6| 2|3|      Some node|        7|       37|       22|     -165.49|    6|        2.75|        1.50|        0|       21
10:53:48:314|       22|       21| 1|3|      Some node|        0|       25|       23|     -166.24|    7|        0.50|        0.00|        0|       22
10:53:48:314|       23|       22| 1|3|      Some node|        0|       24|        0|     -166.74|    8|        0.00|        1.25|       27|       23
10:53:48:314|       24|       22| 2|3|      Some node|       23|        0|        0|     -165.74|    8|        1.00|        0.00|        0|       24
10:53:48:314|       25|       21| 2|3|      Some node|       22|        0|       26|     -164.74|    7|        2.00|        1.25|        0|       21
10:53:48:314|       26|       25| 1|3|      Some node|        0|        0|       27|     -164.74|    8|        0.75|        0.00|        0|       21
10:53:48:314|       27|       26| 1|3|      Some node|        0|        0|       28|     -164.74|    9|        0.75|        0.00|        0|       21
10:53:48:314|       28|       27| 1|3|      Some node|        0|       31|       29|     -165.49|   10|        0.00|        0.00|        0|       28
10:53:48:314|       29|       28| 1|3|      Some node|        0|        0|       30|     -165.49|   11|        0.00|        0.00|        0|       29
10:53:48:314|       30|       29| 1|3|      Some node|        0|        0|        0|     -165.49|   12|        0.00|        1.00|       34|       30
10:53:48:314|       31|       27| 2|3|      Some node|       28|        0|       32|     -163.99|   10|        1.50|        1.00|        0|       21
10:53:48:314|       32|       31| 1|3|      Some node|        0|        0|       33|     -163.99|   11|        0.50|        0.00|        0|       21
10:53:48:314|       33|       32| 1|3|      Some node|        0|       35|       34|     -164.49|   12|        0.00|        0.00|        0|       33
10:53:48:314|       34|       33| 1|3|      Some node|        0|        0|        0|     -164.49|   13|        0.00|        0.00|        0|       34
10:53:48:314|       35|       32| 2|3|      Some node|       33|        0|       36|     -163.49|   12|        1.00|        1.00|        0|       21
10:53:48:314|       36|       35| 1|3|      Some node|        0|        0|        0|     -163.49|   13|        0.00|        0.00|        0|       21
10:53:48:314|       37|        6| 3|3|      Some node|       21|        0|       38|     -161.99|    6|        6.25|        4.75|        0|       37
10:53:48:314|       38|       37| 1|3|      Some node|        0|       45|       39|     -162.99|    7|        0.50|        0.00|        0|       38
10:53:48:314|       39|       38| 1|3|      Some node|        0|       40|        0|     -163.49|    8|        0.00|        1.00|       41|       39
10:53:48:314|       40|       38| 2|3|      Some node|       39|        0|       41|     -162.49|    8|        1.00|        1.00|        0|       40
